"","Date","WL","PF","Opponent","PA","Location","Notes","Year","Team","offName","Home","Week"
"808",2014-09-25,"L",14,"Georgia Southern",34,"Boone, NC","",2014,"Appalachian State (NC)","Appalachian State University",0,5
"809",2014-09-25,"W",34,"Appalachian State (NC)",14,"Statesboro, GA","",2014,"Georgia Southern","Georgia Southern University",1,5
"810",2014-09-26,"W",41,"Old Dominion (VA)",28,"Murfreesboro, TN","",2014,"Middle Tennessee St.","Middle Tennessee State University",0,5
"811",2014-09-26,"L",28,"Middle Tennessee St.",41,"Old Dominion (VA)","",2014,"Old Dominion (VA)","Old Dominion University",1,5
"812",2014-09-26,"W",35,"New Mexico",24,"Fresno, CA","",2014,"Fresno St. (CA)","California State University: Fresno",0,5
"813",2014-09-26,"L",24,"Fresno St. (CA)",35,"Albuquerque, NM","",2014,"New Mexico","University of New Mexico",1,5
"814",2014-09-27,"L",28,"Ohio St.",50,"Cincinnati, OH","",2014,"Cincinnati (OH)","University of Cincinnati",0,5
"815",2014-09-27,"L",10,"Temple (PA)",36,"East Hartford, CT","",2014,"Connecticut","University of Connecticut",1,5
"816",2014-09-27,"L",3,"Mississippi",24,"Memphis, TN","",2014,"Memphis (TN)","University of Memphis",0,5
"817",2014-09-27,"L",0,"Texas Christian",56,"Dallas, TX","",2014,"Southern Methodist (TX)","Southern Methodist University",1,5
"818",2014-09-27,"L",10,"Wisconsin",27,"Tampa, FL","",2014,"South Florida","University of South Florida",0,5
"819",2014-09-27,"W",36,"Connecticut",10,"Philadelphia, PA","",2014,"Temple (PA)","Temple University",0,5
"820",2014-09-27,"L",6,"Rutgers (NJ)",31,"New Orleans, LA","",2014,"Tulane (LA)","Tulane University",0,5
"821",2014-09-27,"L",34,"Texas St.",37,"Tulsa, OK","",2014,"Tulsa (OK)","University of Tulsa",1,5
"822",2014-09-27,"L",21,"Colorado St.",24,"Chestnut Hill, MA","",2014,"Boston College (MA)","Boston College",1,5
"823",2014-09-27,"W",50,"North Carolina",35,"Clemson, SC","",2014,"Clemson (SC)","Clemson University",1,5
"824",2014-09-27,"L",10,"Miami (FL)",22,"Durham, NC","",2014,"Duke (NC)","Duke University",0,5
"825",2014-09-27,"W",56,"North Carolina St.",41,"Tallahassee, FL","",2014,"Florida St.","Florida State University",0,5
"826",2014-09-27,"W",20,"Wake Forest (NC)",10,"Louisville, KY","",2014,"Louisville (KY)","University of Louisville",1,5
"827",2014-09-27,"W",22,"Duke (NC)",10,"Miami Gardens, FL","",2014,"Miami (FL)","University of Miami",1,5
"828",2014-09-27,"L",35,"Clemson (SC)",50,"Chapel Hill, NC","",2014,"North Carolina","North Carolina State University",0,5
"829",2014-09-27,"L",41,"Florida St.",56,"Raleigh, NC","",2014,"North Carolina St.","University of North Carolina at Chapel Hill",1,5
"830",2014-09-27,"L",10,"Akron (OH)",21,"Pittsburgh, PA","",2014,"Pittsburgh (PA)","University of Pittsburgh",1,5
"831",2014-09-27,"L",15,"Notre Dame (IN)",31,"Syracuse, NY","",2014,"Syracuse (NY)","Syracuse University",1,5
"832",2014-09-27,"W",45,"Kent St. (OH)",13,"Charlottesville, VA","",2014,"Virginia","University of Virginia",1,5
"833",2014-09-27,"W",35,"Western Michigan",17,"Blacksburg, VA","",2014,"Virginia Tech","Virginia Polytechnic Institute & State University",1,5
"834",2014-09-27,"L",10,"Louisville (KY)",20,"Winston-Salem, NC","",2014,"Wake Forest (NC)","Wake Forest University",0,5
"835",2014-09-27,"W",49,"Iowa St.",28,"Waco, TX","",2014,"Baylor (TX)","Baylor University",0,5
"836",2014-09-27,"L",28,"Baylor (TX)",49,"Ames, IA","",2014,"Iowa St.","Iowa State University",1,5
"837",2014-09-27,"L",0,"Texas",23,"Lawrence, KS","",2014,"Kansas","University of Kansas",1,5
"838",2014-09-27,"W",58,"Texas-El Paso",28,"Manhattan, KS","",2014,"Kansas St.","Kansas State University",1,5
"839",2014-09-27,"W",56,"Southern Methodist (TX)",0,"Fort Worth, TX","",2014,"Texas Christian","Texas Christian University",0,5
"840",2014-09-27,"W",23,"Kansas",0,"Austin, TX","",2014,"Texas","The University of Texas at Austin",0,5
"841",2014-09-27,"L",14,"Nebraska",45,"Champaign, IL","",2014,"Illinois","University of Illinois at Urbana-Champaign",0,5
"842",2014-09-27,"L",15,"Maryland",37,"Bloomington, IN","",2014,"Indiana","Indiana University Bloomington",1,5
"843",2014-09-27,"W",24,"Purdue (IN)",10,"Iowa City, IA","",2014,"Iowa","University of Iowa",0,5
"844",2014-09-27,"W",37,"Indiana",15,"College Park, MD","",2014,"Maryland","University of Maryland: College Park",0,5
"845",2014-09-27,"L",14,"Minnesota",30,"Ann Arbor, MI","",2014,"Michigan","University of Michigan",1,5
"846",2014-09-27,"W",56,"Wyoming",14,"East Lansing, MI","",2014,"Michigan St.","Michigan State University",1,5
"847",2014-09-27,"W",30,"Michigan",14,"Minneapolis, MN","",2014,"Minnesota","University of Minnesota: Twin Cities",0,5
"848",2014-09-27,"W",45,"Illinois",14,"Lincoln, NE","",2014,"Nebraska","University of Nebraska - Lincoln",1,5
"849",2014-09-27,"W",29,"Penn St.",6,"Evanston, IL","",2014,"Northwestern (IL)","Northwestern University",0,5
"850",2014-09-27,"W",50,"Cincinnati (OH)",28,"Columbus, OH","",2014,"Ohio St.","Ohio State University: Columbus Campus",1,5
"851",2014-09-27,"L",6,"Northwestern (IL)",29,"State College, PA","",2014,"Penn St.","The Pennsylvania State University",1,5
"852",2014-09-27,"L",10,"Iowa",24,"West Lafayette, IN","",2014,"Purdue (IN)","Purdue University",1,5
"853",2014-09-27,"W",31,"Tulane (LA)",6,"New Brunswick, NJ","",2014,"Rutgers (NJ)","Rutgers",1,5
"854",2014-09-27,"W",27,"South Florida",10,"Madison, WI","",2014,"Wisconsin","University of Wisconsin-Madison",1,5
"855",2014-09-27,"W",41,"Texas-San Antonio",37,"Fort Lauderdale, FL","",2014,"Florida Atlantic","Florida Atlantic University",1,5
"856",2014-09-27,"W",34,"Alabama-Birmingham",20,"Miami, FL","",2014,"Florida International","Florida International University",0,5
"857",2014-09-27,"L",17,"Auburn (AL)",45,"Ruston, LA","",2014,"Louisiana Tech","Louisiana Tech University",0,5
"858",2014-09-27,"W",41,"Southern Mississippi",23,"Houston, TX","",2014,"Rice (TX)","Rice University",0,5
"859",2014-09-27,"L",23,"Rice (TX)",41,"Hattiesburg, MS","",2014,"Southern Mississippi","University of Southern Mississippi",1,5
"860",2014-09-27,"L",20,"Florida International",34,"Birmingham, AL","",2014,"Alabama-Birmingham","The University of Alabama at Birmingham",1,5
"861",2014-09-27,"L",28,"Kansas St.",58,"El Paso, TX","",2014,"Texas-El Paso","University of Texas-El Paso",0,5
"862",2014-09-27,"L",37,"Florida Atlantic",41,"San Antonio, TX","",2014,"Texas-San Antonio","University of Texas at San Antonio",0,5
"863",2014-09-27,"W",36,"Navy (MD)",27,"Bowling Green, KY","",2014,"Western Kentucky","Western Kentucky University",0,5
"864",2014-09-27,"L",43,"Yale (CT)",49,"West Point, NY","",2014,"Army (NY)","United States Military Academy",0,5
"865",2014-09-27,"L",27,"Western Kentucky",36,"Annapolis, MD","",2014,"Navy (MD)","United States Naval Academy",1,5
"866",2014-09-27,"W",31,"Syracuse (NY)",15,"South Bend, IN","",2014,"Notre Dame (IN)","University of Notre Dame",1,5
"867",2014-09-27,"W",21,"Pittsburgh (PA)",10,"Akron, OH","",2014,"Akron (OH)","University of Akron",0,5
"868",2014-09-27,"W",47,"Massachusetts",42,"Bowling Green, OH","",2014,"Bowling Green (OH)","Bowling Green State University",0,5
"869",2014-09-27,"W",35,"Miami (OH)",27,"Buffalo, NY","",2014,"Buffalo (NY)","State University of New York at Buffalo",1,5
"870",2014-09-27,"L",28,"Toledo (OH)",42,"Mount Pleasant, MI","",2014,"Central Michigan","Central Michigan University",0,5
"871",2014-09-27,"L",13,"Virginia",45,"Kent, OH","",2014,"Kent St. (OH)","Kent State University",0,5
"872",2014-09-27,"L",42,"Bowling Green (OH)",47,"Foxboro, MA","",2014,"Massachusetts","University of Massachusetts Amherst",1,5
"873",2014-09-27,"L",27,"Buffalo (NY)",35,"Oxford, OH","",2014,"Miami (OH)","Miami University: Oxford Campus",0,5
"874",2014-09-27,"W",34,"Eastern Illinois",19,"Athens, OH","",2014,"Ohio","Ohio University",1,5
"875",2014-09-27,"W",42,"Central Michigan",28,"Toledo, OH","",2014,"Toledo (OH)","University of Toledo",1,5
"876",2014-09-27,"L",17,"Virginia Tech",35,"Kalamazoo, MI","",2014,"Western Michigan","Western Michigan University",0,5
"877",2014-09-27,"W",28,"Boise St. (ID)",14,"Air Force Academy, CO","",2014,"Air Force (CO)","United States Air Force Academy",1,5
"878",2014-09-27,"L",14,"Air Force (CO)",28,"Boise, ID","",2014,"Boise St. (ID)","Boise State University",0,5
"879",2014-09-27,"W",24,"Boston College (MA)",21,"Fort Collins, CO","",2014,"Colorado St.","Colorado State University",0,5
"880",2014-09-27,"W",21,"San Jose St. (CA)",10,"Reno, NV","",2014,"Nevada","University of Nevada: Reno",0,5
"881",2014-09-27,"W",34,"Nevada-Las Vegas",17,"San Diego, CA","",2014,"San Diego St. (CA)","San Diego State University",1,5
"882",2014-09-27,"L",10,"Nevada",21,NA,"",2014,NA,NA,1,5
"883",2014-09-27,"L",17,"San Diego St. (CA)",34,"Las Vegas, NV","",2014,"Nevada-Las Vegas","University of Nevada: Las Vegas",0,5
"884",2014-09-27,"L",14,"Michigan St.",56,"Laramie, WY","",2014,"Wyoming","University of Wyoming",0,5
"885",2014-09-27,"W",59,"Colorado",56,"Berkeley, CA","",2014,"California","University of California: Berkeley",1,5
"886",2014-09-27,"L",56,"California",59,"Boulder, CO","",2014,"Colorado","University of Colorado at Boulder",0,5
"887",2014-09-27,"L",10,"Southern California",35,"Corvallis, OR","",2014,"Oregon St.","Oregon State University",0,5
"888",2014-09-27,"W",20,"Washington",13,"Stanford, CA","",2014,"Stanford (CA)","Stanford University",0,5
"889",2014-09-27,"W",35,"Oregon St.",10,"Los Angeles, CA","",2014,"Southern California","University of Southern California",1,5
"890",2014-09-27,"L",27,"Washington St.",28,"Salt Lake City, UT","",2014,"Utah","University of Utah",1,5
"891",2014-09-27,"L",13,"Stanford (CA)",20,"Seattle, WA","",2014,"Washington","University of Washington",1,5
"892",2014-09-27,"W",28,"Utah",27,"Pullman, WA","",2014,"Washington St.","Washington State University",0,5
"893",2014-09-27,"L",28,"Texas A&M",35,"Fayetteville, AR","",2014,"Arkansas","University of Arkansas",1,5
"894",2014-09-27,"W",45,"Louisiana Tech",17,"Auburn, AL","",2014,"Auburn (AL)","Auburn University",1,5
"895",2014-09-27,"W",35,"Tennessee",32,"Athens, GA","",2014,"Georgia","University of Georgia",1,5
"896",2014-09-27,"W",17,"Vanderbilt (TN)",7,"Lexington, KY","",2014,"Kentucky","University of Kentucky",1,5
"897",2014-09-27,"W",63,"New Mexico St.",7,"Baton Rouge, LA","",2014,"Louisiana St.","Louisiana State University and Agricultural and Mechanical College",1,5
"898",2014-09-27,"W",21,"South Carolina",20,"Columbia, MO","",2014,"Missouri","University of Missouri: Columbia",0,5
"899",2014-09-27,"W",24,"Memphis (TN)",3,"Oxford, MS","",2014,"Mississippi","University of Mississippi",1,5
"900",2014-09-27,"L",20,"Missouri",21,"Columbia, SC","",2014,"South Carolina","University of South Carolina-Columbia",1,5
"901",2014-09-27,"L",32,"Georgia",35,"Knoxville, TN","",2014,"Tennessee","University of Tennessee: Knoxville",0,5
"902",2014-09-27,"W",35,"Arkansas",28,"College Station, TX","",2014,"Texas A&M","Texas A&M University",1,5
"903",2014-09-27,"L",7,"Kentucky",17,"Nashville, TN","",2014,"Vanderbilt (TN)","Vanderbilt University",0,5
"904",2014-09-27,"L",10,"South Alabama",34,"Moscow, ID","",2014,"Idaho","University of Idaho",1,5
"905",2014-09-27,"W",22,"Troy (AL)",20,"Monroe, LA","",2014,"Louisiana-Monroe","University of Louisiana at Monroe",1,5
"906",2014-09-27,"L",7,"Louisiana St.",63,"Las Cruces, NM","",2014,"New Mexico St.","New Mexico State University",0,5
"907",2014-09-27,"W",34,"Idaho",10,"Mobile, AL","",2014,"South Alabama","University of South Alabama",0,5
"908",2014-09-27,"W",37,"Tulsa (OK)",34,"San Marcos, TX","",2014,"Texas St.","Texas State University-San Marcos",0,5
"909",2014-09-27,"L",20,"Louisiana-Monroe",22,"Troy, AL","",2014,"Troy (AL)","Troy University",0,5
"910",2014-09-27,"L",35,"Northern Arizona",38,"San Luis Obispo, CA","",2014,"Cal Poly-San Luis Obispo","California Polytechnic State University: San Luis Obispo",0,5
"911",2014-09-27,"W",37,"California-Davis",14,"Cheney, WA","",2014,"Eastern Washington","Eastern Washington University",0,5
"912",2014-09-27,"W",44,"Cal St.-Sacramento",24,"Pocatello, ID","",2014,"Idaho St.","Idaho State University",1,5
"913",2014-09-27,"W",38,"Northern Colorado",13,"Missoula, MT","",2014,"Montana","University of Montana-Missoula",1,5
"914",2014-09-27,"W",29,"North Dakota",18,"Bozeman, MT","",2014,"Montana St.","Montana State University: Bozeman",1,5
"915",2014-09-27,"L",18,"Montana St.",29,"Grand Forks, ND","",2014,"North Dakota","University of North Dakota",0,5
"916",2014-09-27,"W",38,"Cal Poly-San Luis Obispo",35,"Flagstaff, AZ","",2014,"Northern Arizona","Northern Arizona University",1,5
"917",2014-09-27,"L",13,"Montana",38,"Greeley, CO","",2014,"Northern Colorado","University of Northern Colorado",0,5
"918",2014-09-27,"L",24,"Idaho St.",44,"Sacramento, CA","",2014,"Cal St.-Sacramento","California State University: Sacramento",0,5
"919",2014-09-27,"W",31,"Weber St. (UT)",28,"Cedar City, UT","",2014,"Southern Utah","Southern Utah University",1,5
"920",2014-09-27,"L",14,"Eastern Washington",37,"Davis, CA","",2014,"California-Davis","University of California: Davis",1,5
"921",2014-09-27,"L",28,"Southern Utah",31,"Ogden, UT","",2014,"Weber St. (UT)","Weber State University",0,5
"922",2014-09-27,"W",47,"North Carolina-Charlotte",41,"Charleston, SC","",2014,"Charleston Southern (SC)","Charleston Southern University",0,5
"923",2014-09-27,"W",31,"Elon (NC)",3,"Conway, SC","",2014,"Coastal Carolina (SC)","Coastal Carolina University",1,5
"924",2014-09-27,"L",14,"Citadel (SC)",37,"Boiling Springs, NC","",2014,"Gardner-Webb (NC)","Gardner-Webb University",0,5
"925",2014-09-27,"L",19,"Indiana St.",38,"Lynchburg, VA","",2014,"Liberty (VA)","Liberty University",0,5
"926",2014-09-27,"W",28,"Lehigh (PA)",21,"West Long Branch, NJ","",2014,"Monmouth (NJ)","Monmouth University",0,5
"927",2014-09-27,"W",42,"Columbia (NY)",7,"Albany, NY","",2014,"SUNY-Albany (NY)","State University of New York at Albany",1,5
"928",2014-09-27,"W",30,"James Madison (VA)",23,"Newark, DE","",2014,"Delaware","University of Delaware",0,5
"929",2014-09-27,"L",3,"Coastal Carolina (SC)",31,"Elon, NC","",2014,"Elon (NC)","Elon University",0,5
"930",2014-09-27,"L",23,"Delaware",30,"Harrisonburg, VA","",2014,"James Madison (VA)","James Madison University",1,5
"931",2014-09-27,"W",27,"Towson (MD)",24,"Orono, ME","",2014,"Maine","University of Maine",0,5
"932",2014-09-27,"W",52,"Dartmouth (NH)",19,"Durham, NH","",2014,"New Hampshire","University of New Hampshire",1,5
"933",2014-09-27,"L",14,"Central Connecticut St.",38,"Kingston, RI","",2014,"Rhode Island","University of Rhode Island",0,5
"934",2014-09-27,"L",21,"William & Mary (VA)",27,"Stony Brook, NY","",2014,"SUNY-Stony Brook (NY)","State University of New York at Stony Brook",1,5
"935",2014-09-27,"L",24,"Maine",27,"Towson, MD","",2014,"Towson (MD)","Towson University",1,5
"936",2014-09-27,"W",41,"Pennsylvania",7,"Villanova, PA","",2014,"Villanova (PA)","Villanova University",0,5
"937",2014-09-27,"W",27,"SUNY-Stony Brook (NY)",21,"Williamsburg, VA","",2014,"William & Mary (VA)","College of William and Mary",0,5
"938",2014-09-27,"L",41,"Charleston Southern (SC)",47,"Charlotte, NC","",2014,"North Carolina-Charlotte","The University of North Carolina at Charlotte",1,5
"939",2014-09-27,"L",14,"Harvard (MA)",22,"Providence, RI","",2014,"Brown (RI)","Brown University",1,5
"940",2014-09-27,"L",7,"SUNY-Albany (NY)",42,"New York, NY","",2014,"Columbia (NY)","Columbia University: Columbia College",0,5
"941",2014-09-27,"L",7,"Bucknell (PA)",20,"Ithaca, NY","",2014,"Cornell (NY)","Cornell University",0,5
"942",2014-09-27,"L",19,"New Hampshire",52,"Hanover, NH","",2014,"Dartmouth (NH)","Dartmouth College",0,5
"943",2014-09-27,"W",22,"Brown (RI)",14,"Cambridge, MA","",2014,"Harvard (MA)","Harvard University",0,5
"944",2014-09-27,"L",7,"Villanova (PA)",41,"Philadelphia, PA","",2014,"Pennsylvania","University of Pennsylvania",1,5
"945",2014-09-27,"W",56,"Davidson (NC)",17,"Princeton, NJ","",2014,"Princeton (NJ)","Princeton University",1,5
"946",2014-09-27,"W",49,"Army (NY)",43,"New Haven, CT","",2014,"Yale (CT)","Yale University",1,5
"947",2014-09-27,"W",35,"Savannah St. (GA)",10,"Dover, DE","",2014,"Delaware St.","Delaware State University",1,5
"948",2014-09-27,"L",10,"South Carolina St.",17,"Hampton, VA","",2014,"Hampton (VA)","Hampton University",1,5
"949",2014-09-27,"L",22,"North Carolina A&T",38,"Washington, DC","",2014,"Howard (DC)","Howard University",1,5
"950",2014-09-27,"L",14,"Norfolk St. (VA)",15,"Baltimore, MD","",2014,"Morgan St. (MD)","Morgan State University",0,5
"951",2014-09-27,"W",15,"Morgan St. (MD)",14,"Norfolk, VA","",2014,"Norfolk St. (VA)","Norfolk State University",1,5
"952",2014-09-27,"W",38,"Howard (DC)",22,"Greensboro, NC","",2014,"North Carolina A&T","North Carolina Agricultural and Technical State University",0,5
"953",2014-09-27,"L",10,"Delaware St.",35,"Savannah, GA","",2014,"Savannah St. (GA)","Savannah State University",0,5
"954",2014-09-27,"W",17,"Hampton (VA)",10,"Orangeburg, SC","",2014,"South Carolina St.","South Carolina State University",0,5
"955",2014-09-27,"W",55,"Austin Peay St. (TN)",6,"Normal, IL","",2014,"Illinois St.","Illinois State University",1,5
"956",2014-09-27,"W",38,"Liberty (VA)",19,"Terre Haute, IN","",2014,"Indiana St.","Indiana State University",1,5
"957",2014-09-27,"W",50,"Tennessee Tech",7,"Cedar Falls, IA","",2014,"Northern Iowa","University of Northern Iowa",1,5
"958",2014-09-27,"W",34,"Western Illinois",17,"Carbondale, IL","",2014,"Southern Illinois","Southern Illinois University Carbondale",1,5
"959",2014-09-27,"L",17,"Southern Illinois",34,"Macomb, IL","",2014,"Western Illinois","Western Illinois University",0,5
"960",2014-09-27,"W",38,"Rhode Island",14,"New Britain, CT","",2014,"Central Connecticut St.","Central Connecticut State University",1,5
"961",2014-09-27,"L",6,"Illinois St.",55,"Clarksville, TN","",2014,"Austin Peay St. (TN)","Austin Peay State University",0,5
"962",2014-09-27,"L",19,"Ohio",34,"Charleston, IL","",2014,"Eastern Illinois","Eastern Illinois University",0,5
"963",2014-09-27,"W",52,"Murray St. (KY)",28,"Jacksonville, AL","",2014,"Jacksonville St. (AL)","Jacksonville State University",0,5
"964",2014-09-27,"L",28,"Jacksonville St. (AL)",52,"Murray, KY","",2014,"Murray St. (KY)","Murray State University",1,5
"965",2014-09-27,"W",31,"Tennessee-Martin",27,"Cape Girardeau, MO","",2014,"Southeast Missouri St.","Southeast Missouri State University",0,5
"966",2014-09-27,"W",27,"Florida A&M",7,"Nashville, TN","",2014,"Tennessee St.","Tennessee State University",1,5
"967",2014-09-27,"L",7,"Northern Iowa",50,"Cookeville, TN","",2014,"Tennessee Tech","Tennessee Technological University",0,5
"968",2014-09-27,"L",27,"Southeast Missouri St.",31,"Martin, TN","",2014,"Tennessee-Martin","University of Tennessee: Martin",1,5
"969",2014-09-27,"W",20,"Cornell (NY)",7,"Lewisburg, PA","",2014,"Bucknell (PA)","Bucknell University",1,5
"970",2014-09-27,"W",19,"Georgetown (DC)",0,"Hamilton, NY","",2014,"Colgate (NY)","Colgate University",1,5
"971",2014-09-27,"W",45,"Holy Cross (MA)",16,"New York, NY","",2014,"Fordham (NY)","Fordham University",0,5
"972",2014-09-27,"L",0,"Colgate (NY)",19,"Washington, DC","",2014,"Georgetown (DC)","Georgetown University",0,5
"973",2014-09-27,"L",16,"Fordham (NY)",45,"Worcester, MA","",2014,"Holy Cross (MA)","College of the Holy Cross",1,5
"974",2014-09-27,"W",35,"Wagner (NY)",23,"Easton, PA","",2014,"Lafayette (PA)","Lafayette College",1,5
"975",2014-09-27,"L",21,"Monmouth (NJ)",28,"Bethlehem, PA","",2014,"Lehigh (PA)","Lehigh University",1,5
"976",2014-09-27,"L",7,"Jacksonville (FL)",35,"Indianapolis, IN","",2014,"Butler (IN)","Butler University",1,5
"977",2014-09-27,"W",34,"Valparaiso (IN)",24,"Buies Creek, NC","",2014,"Campbell (NC)","Campbell University",1,5
"978",2014-09-27,"L",17,"Princeton (NJ)",56,"Davidson, NC","",2014,"Davidson (NC)","Davidson College",0,5
"979",2014-09-27,"W",35,"Butler (IN)",7,"Jacksonville, FL","",2014,"Jacksonville (FL)","Jacksonville University",0,5
"980",2014-09-27,"L",16,"San Diego (CA)",20,"Poughkeepsie, NY","",2014,"Marist (NY)","Marist College",1,5
"981",2014-09-27,"W",20,"Marist (NY)",16,"San Diego, CA","",2014,"San Diego (CA)","University of San Diego",0,5
"982",2014-09-27,"L",24,"Campbell (NC)",34,"Valparaiso, IN","",2014,"Valparaiso (IN)","Valparaiso University",0,5
"983",2014-09-27,"W",38,"Samford (AL)",24,"Chattanooga, TN","",2014,"Tennessee-Chattanooga","University of Tennessee: Chattanooga",1,5
"984",2014-09-27,"W",37,"Gardner-Webb (NC)",14,"Charleston, SC","",2014,"Citadel (SC)","The Citadel",1,5
"985",2014-09-27,"L",17,"Western Carolina (NC)",35,"Greenville, SC","",2014,"Furman (SC)","Furman University",1,5
"986",2014-09-27,"W",27,"Virginia Military Institute",24,"Macon, GA","",2014,"Mercer (GA)","",0,5
"987",2014-09-27,"L",24,"Tennessee-Chattanooga",38,"Birmingham, AL","",2014,"Samford (AL)","Samford University",0,5
"988",2014-09-27,"L",24,"Mercer (GA)",27,"Lexington, VA","",2014,"Virginia Military Institute","Virginia Military Institute",1,5
"989",2014-09-27,"W",35,"Furman (SC)",17,"Cullowhee, NC","",2014,"Western Carolina (NC)","Western Carolina University",0,5
"990",2014-09-27,"W",59,"Houston Baptist (TX)",14,"Abilene, TX","",2014,"Abilene Christian (TX)","Abilene Christian University",0,5
"991",2014-09-27,"W",52,"Nicholls St. (LA)",18,"Conway, AR","",2014,"Central Arkansas","University of Central Arkansas",1,5
"992",2014-09-27,"L",14,"Abilene Christian (TX)",59,"Houston, TX","",2014,"Houston Baptist (TX)","",1,5
"993",2014-09-27,"L",7,"Southeastern Louisiana",63,"San Antonio, TX","",2014,"Incarnate Word (TX)","",1,5
"994",2014-09-27,"L",10,"Sam Houston St. (TX)",42,"Beaumont, TX","",2014,"Lamar (TX)","Lamar University",1,5
"995",2014-09-27,"L",18,"Central Arkansas",52,"Thibodaux, LA","",2014,"Nicholls St. (LA)","Nicholls State University",0,5
"996",2014-09-27,"W",42,"Lamar (TX)",10,"Huntsville, TX","",2014,"Sam Houston St. (TX)","Sam Houston State University",0,5
"997",2014-09-27,"W",63,"Incarnate Word (TX)",7,"Hammond, LA","",2014,"Southeastern Louisiana","Southeastern Louisiana University",0,5
"998",2014-09-27,"W",42,"Mississippi Valley St.",20,"Normal, AL","",2014,"Alabama A&M","Alabama Agricultural and Mechanical University",0,5
"999",2014-09-27,"W",38,"Texas Southern",3,"Montgomery, AL","",2014,"Alabama St.","Alabama State University",1,5
"1000",2014-09-27,"W",56,"Southern (LA)",16,"Lorman, MS","",2014,"Alcorn St. (MS)","Alcorn State University",1,5
"1001",2014-09-27,"L",30,"Jackson St. (MS)",33,"Pine Bluff, AR","",2014,"Arkansas-Pine Bluff","University of Arkansas at Pine Bluff",1,5
"1002",2014-09-27,"W",26,"Prairie View A&M (TX)",20,"Grambling, LA","",2014,"Grambling St. (LA)","Grambling State University",1,5
"1003",2014-09-27,"W",33,"Arkansas-Pine Bluff",30,"Jackson, MS","",2014,"Jackson St. (MS)","Jackson State University",0,5
"1004",2014-09-27,"L",20,"Alabama A&M",42,"Itta Bena, MS","",2014,"Mississippi Valley St.","Mississippi Valley State University",1,5
"1005",2014-09-27,"L",20,"Grambling St. (LA)",26,"Prairie View, TX","",2014,"Prairie View A&M (TX)","Prairie View A&M University",1,5
"1006",2014-09-27,"L",16,"Alcorn St. (MS)",56,"Baton Rouge, LA","",2014,"Southern (LA)","Southern University and Agricultural and Mechanical College",0,5
"1007",2014-09-27,"L",3,"Alabama St.",38,"Houston, TX","",2014,"Texas Southern","Texas Southern University",0,5
"1008",2014-10-02,"L",12,"Central Florida",17,"Houston, TX","",2014,"Houston (TX)","University of Houston",1,6
"1009",2014-10-02,"W",17,"Houston (TX)",12,"Orlando, FL","",2014,"Central Florida","University of Central Florida",0,6
"1010",2014-10-02,"L",10,"Florida International",38,"Fort Lauderdale, FL","",2014,"Florida Atlantic","Florida Atlantic University",0,6
"1011",2014-10-02,"W",38,"Florida Atlantic",10,"Miami, FL","",2014,"Florida International","Florida International University",1,6
"1012",2014-10-02,"W",31,"Oregon",24,"Tucson, AZ","",2014,"Arizona","University of Arizona",0,6
"1013",2014-10-02,"L",24,"Arizona",31,"Eugene, OR","",2014,"Oregon","University of Oregon",1,6
"1014",2014-10-02,"L",7,"Alcorn St. (MS)",33,"Montgomery, AL","",2014,"Alabama St.","Alabama State University",0,6
"1015",2014-10-02,"W",33,"Alabama St.",7,"Lorman, MS","",2014,"Alcorn St. (MS)","Alcorn State University",1,6
"1016",2014-10-03,"W",28,"Syracuse (NY)",6,"Louisville, KY","",2014,"Louisville (KY)","University of Louisville",0,6
"1017",2014-10-03,"L",6,"Louisville (KY)",28,"Syracuse, NY","",2014,"Syracuse (NY)","Syracuse University",1,6
"1018",2014-10-03,"L",20,"Utah St.",35,"Provo, UT","",2014,"Brigham Young (UT)","Brigham Young University",1,6
"1019",2014-10-03,"W",24,"San Diego St. (CA)",13,"Fresno, CA","",2014,"Fresno St. (CA)","California State University: Fresno",1,6
"1020",2014-10-03,"L",13,"Fresno St. (CA)",24,"San Diego, CA","",2014,"San Diego St. (CA)","San Diego State University",0,6
"1021",2014-10-03,"W",35,"Brigham Young (UT)",20,"Logan, UT","",2014,"Utah St.","Utah State University",0,6
"1022",2014-10-03,"L",18,"Fordham (NY)",42,"Easton, PA","",2014,"Lafayette (PA)","Lafayette College",0,6
"1023",2014-10-04,"L",14,"Memphis (TN)",41,"Cincinnati, OH","",2014,"Cincinnati (OH)","University of Cincinnati",1,6
"1024",2014-10-04,"W",45,"Southern Methodist (TX)",24,"Greenville, NC","",2014,"East Carolina (NC)","East Carolina University",1,6
"1025",2014-10-04,"W",41,"Cincinnati (OH)",14,"Memphis, TN","",2014,"Memphis (TN)","University of Memphis",0,6
"1026",2014-10-04,"L",24,"East Carolina (NC)",45,"Dallas, TX","",2014,"Southern Methodist (TX)","Southern Methodist University",0,6
"1027",2014-10-04,"L",17,"Colorado St.",42,"Tulsa, OK","",2014,"Tulsa (OK)","University of Tulsa",0,6
"1028",2014-10-04,"W",41,"North Carolina St.",0,"Clemson, SC","",2014,"Clemson (SC)","Clemson University",1,6
"1029",2014-10-04,"W",43,"Wake Forest (NC)",3,"Tallahassee, FL","",2014,"Florida St.","Florida State University",1,6
"1030",2014-10-04,"W",28,"Miami (FL)",17,"Atlanta, GA","",2014,"Georgia Tech","Georgia Institute of Technology",1,6
